Genero;Gender_PA_Ratio;Total_prev
Mujer;-0,074207884;9,728098912
Mujer;-0,059347566;9,469377676
Mujer;-0,05919842;15,03216003
Mujer;-0,058922047;12,52315632
Mujer;-0,056542766;1,631308647
Mujer;-0,052477846;7,101855489
Mujer;-0,052024949;6,13446985
Mujer;-0,050345546;-4,986914136
Mujer;-0,045312869;8,526908336
Mujer;-0,043568807;9,048096659
Mujer;-0,041236145;7,287070401
Mujer;-0,039174071;7,213020619
Mujer;-0,03755971;3,143554258
Mujer;-0,034959492;0,783673985
Mujer;-0,030365465;9,913289878
Mujer;-0,030344174;1,906605834
Mujer;-0,02910764;3,203996938
Mujer;-0,024424963;9,8992225
Mujer;-0,023893643;-1,821611156
Mujer;-0,023122037;5,575374294
Mujer;-0,021530769;-6,100377397
Mujer;-0,017879644;2,488185657
Mujer;-0,017500454;4,274896378
Mujer;-0,013836927;-0,250761659
Mujer;-0,01289102;4,887177343
Mujer;-0,012086532;8,073358036
Mujer;-0,00777081;1,516807452
Mujer;-0,003899839;-8,630185961
Mujer;-0,002177804;8,756882453
Mujer;0,000746775;2,158965443
Mujer;0,003333462;3,782443596
Mujer;0,005169368;-2,18812351
Mujer;0,006340396;-5,213565498
Mujer;0,008655549;-8,265508443
Mujer;0,013108745;-10,01294775
Mujer;0,015594115;2,073419364
Mujer;0,016232888;-0,039247542
Mujer;0,020137917;-6,095681622
Mujer;0,021375849;2,599613525
Mujer;0,021471001;0,301324997
Mujer;0,021483091;-6,508162664
Mujer;0,029978595;-9,501871994
Mujer;0,030425245;-1,928533397
Mujer;0,031225363;-5,806798217
Mujer;0,032675395;-10,24581055
Mujer;0,03289055;1,920363962
Mujer;0,034127997;-5,805511132
Mujer;0,034637509;-9,196364873
Mujer;0,03776773;4,237108896
Mujer;0,044187603;-2,023554497
Mujer;0,048361488;-2,73839666
Mujer;0,055942519;-5,256127502
Mujer;0,059842599;-15,52537178
Mujer;0,060848033;-11,6088639
Mujer;0,064765019;-4,976800337
Mujer;0,072742274;-12,7620168
Mujer;0,075457649;-12,42898555
Mujer;0,077324314;-6,690036478
Mujer;0,078701854;-12,35286811
Mujer;0,08393282;-1,839238971
Mujer;0,090479264;-9,907419177
Mujer;0,101630081;-1,788617696
Mujer;0,110848742;-19,62328079
Mujer;0,111360568;-6,702921067
Mujer;0,151674142;-7,937000891
Mujer;0,15422075;-13,70859932
Mujer;0,163296902;-15,04443389
Mujer;0,168437709;-9,667111117
Mujer;0,176562577;-19,16476189
Mujer;0,302150693;-29,4826774
